transaction_id,store,date,price,quantity,item,price_per_item,user_id
T055,Trader Tales,2022-05-12,9.0,3,"Krafty Cheddar, Dovee",3.0,
T056,Trader Tales,2023-09-24,1.0,1,Oreoz,1.0,
T057,Trader Tales,2022-07-07,4.0,1,Gatorboost,4.0,
T058,Urban Outfitters Loft,2022-09-06,2.0,1,Kittykat,2.0,
T059,Trader Tales,2023-06-11,10.0,3,"Popsi, Colgatex",3.33,
T060,Urban Outfitters Loft,2022-04-24,7.0,4,"Gatorboost, Kittykat, Dovee",1.75,
T061,Bestchoice Buy,2023-01-26,11.0,4,"Redcow, Colgatex, Dovee",2.75,
T062,Sparkmart,2022-11-17,21.0,6,"Colgatex, Dovee",3.5,
T063,Petpals Mart,2023-11-19,16.0,3,"Popsi, Redcow, Flixnet",5.33,
T064,Urban Outfitters Loft,2023-02-28,8.0,4,"Oreoz, Dovee, Popsi",2.0,
T065,Trader Tales,2022-02-09,6.0,3,Dovee,2.0,
T066,Trader Tales,2023-02-18,9.0,3,Colgatex,3.0,
T067,Petpals Mart,2023-06-02,3.0,1,Redcow,3.0,
T068,Petpals Mart,2022-12-10,9.0,4,"Dovee, Oreoz, Colgatex",2.25,
T069,Urban Outfitters Loft,2022-11-04,2.0,1,Colgatex,2.0,
T070,Trader Tales,2022-04-13,24.0,7,"Kittykat, Redcow, Colgatex",3.43,
T071,Petpals Mart,2023-12-24,6.0,2,Redcow,3.0,
T072,Sparkmart,2022-09-22,10.0,2,"Oreoz, Gatorboost",5.0,
T073,Bestchoice Buy,2022-02-22,8.0,2,Redcow,4.0,
T074,Bestchoice Buy,2023-07-27,12.0,4,"Dovee, Redcow",3.0,
T075,Petpals Mart,2023-03-15,2.0,1,Colgatex,2.0,
T076,Trader Tales,2023-05-28,16.0,3,"Colgatex, Dovee, Flixnet",5.33,
T077,Trader Tales,2023-04-29,15.0,2,"Flixnet, Redcow",7.5,
T078,Urban Outfitters Loft,2022-04-28,23.0,3,"Flixnet, Redcow",7.67,
T079,Bestchoice Buy,2022-04-14,22.0,7,"Kittykat, Colgatex, Krafty Cheddar, Gatorboost",3.14,
T080,Bestchoice Buy,2023-08-14,10.0,3,"Colgatex, Redcow",3.33,
T081,Urban Outfitters Loft,2022-02-01,3.0,1,Popsi,3.0,
T082,Trader Tales,2023-03-31,2.0,1,Dovee,2.0,
T083,Urban Outfitters Loft,2022-03-14,14.0,6,"Popsi, Dovee, Redcow",2.33,
T084,Bestchoice Buy,2024-01-01,9.0,3,Kittykat,3.0,
T085,Bestchoice Buy,2022-02-10,3.0,1,Kittykat,3.0,
T086,Petpals Mart,2023-08-29,2.0,2,Dovee,1.0,
T087,Trader Tales,2023-04-09,12.0,4,"Dovee, Colgatex, Popsi",3.0,
T088,Bestchoice Buy,2024-01-21,7.0,2,"Redcow, Kittykat",3.5,
T089,Petpals Mart,2023-02-16,5.0,2,"Redcow, Oreoz",2.5,
T090,Trader Tales,2023-03-08,18.0,3,"Colgatex, Popsi, Flixnet",6.0,
T091,Trader Tales,2022-11-12,4.0,1,Popsi,4.0,
T092,Petpals Mart,2022-10-04,10.0,4,"Coca-splash, Popsi, Colgatex",2.5,
T093,Sparkmart,2022-05-26,22.0,3,"Flixnet, Popsi",7.33,
T094,Trader Tales,2023-04-18,16.0,5,"Dovee, Oreoz",3.2,
T095,Urban Outfitters Loft,2024-04-17,1.0,1,Dovee,1.0,
T096,Petpals Mart,2024-04-15,13.0,5,"Redcow, Kittykat, Flixnet, Colgatex",2.6,
T097,Petpals Mart,2023-09-19,8.0,3,"Redcow, Kittykat",2.67,
T098,Trader Tales,2023-01-11,4.0,2,Dovee,2.0,
T099,Urban Outfitters Loft,2023-02-05,7.0,4,"Kittykat, Gatorboost, Dovee",1.75,
T100,Sparkmart,2023-03-02,32.0,4,"Colgatex, Flixnet",8.0,
T101,Trader Tales,2024-01-22,1.0,1,Flixnet,1.0,
T102,Petpals Mart,2022-08-10,13.0,7,"Dovee, Popsi, Colgatex",1.86,
T103,Urban Outfitters Loft,2023-11-02,16.0,3,"Flixnet, Popsi",5.33,
T104,Urban Outfitters Loft,2022-05-23,3.0,1,Oreoz,3.0,
T105,Urban Outfitters Loft,2022-03-12,13.0,5,"Krafty Cheddar, Redcow, Dovee",2.6,
T106,Trader Tales,2023-12-04,13.0,4,"Krafty Cheddar, Dovee, Popsi",3.25,
T107,Bestchoice Buy,2024-02-14,17.0,4,"Colgatex, Krafty Cheddar, Popsi",4.25,
T108,Bestchoice Buy,2024-01-08,24.0,9,"Dovee, Kittykat, Popsi, Kittykat",2.67,
T109,Petpals Mart,2022-05-01,6.0,3,"Krafty Cheddar, Dovee",2.0,
T110,Trader Tales,2022-11-21,11.0,1,Flixnet,11.0,
T111,Trader Tales,2023-07-12,4.0,2,Dovee,2.0,
T112,Bestchoice Buy,2022-05-14,13.0,3,"Oreoz, Popsi, Krafty Cheddar",4.33,
T113,Bestchoice Buy,2024-03-18,14.0,4,"Colgatex, Popsi",3.5,
T114,Petpals Mart,2024-04-09,2.0,1,Colgatex,2.0,
T115,Sparkmart,2024-04-30,8.0,2,"Dovee, Oreoz",4.0,
T116,Trader Tales,2024-04-28,14.0,4,"Gatorboost, Colgatex",3.5,
T117,Petpals Mart,2022-05-29,4.0,2,"Oreoz, Dovee",2.0,
T118,Petpals Mart,2022-04-06,7.0,3,"Dovee, Oreoz",2.33,
T119,Bestchoice Buy,2022-10-23,19.0,4,"Flixnet, Colgatex, Oreoz",4.75,
T120,Trader Tales,2024-02-07,1.0,1,Flixnet,1.0,
T121,Petpals Mart,2022-06-04,13.0,2,"Popsi, Flixnet",6.5,
T122,Urban Outfitters Loft,2022-09-09,1.0,1,Dovee,1.0,
T123,Petpals Mart,2023-03-29,17.0,6,"Dovee, Flixnet, Colgatex",2.83,
T124,Petpals Mart,2022-03-14,9.0,3,"Popsi, Popsi",3.0,
T125,Trader Tales,2023-11-15,1.0,1,Colgatex,1.0,
T126,Targeted Treasures,2023-12-10,13.0,3,"Dovee, Popsi",4.33,
T127,Trader Tales,2023-02-24,2.0,1,Dovee,2.0,
T128,Urban Outfitters Loft,2023-08-31,10.0,4,"Popsi, Redcow, Dovee",2.5,
T129,Urban Outfitters Loft,2022-03-27,5.0,4,"Kittykat, Dovee",1.25,
T130,Sparkmart,2022-04-15,22.0,6,"Kittykat, Redcow, Dovee",3.67,
T131,Trader Tales,2023-05-21,1.0,1,Coca-splash,1.0,
T132,Urban Outfitters Loft,2024-04-01,9.0,3,"Popsi, Krafty Cheddar, Kittykat",3.0,
T133,Sparkmart,2022-05-21,17.0,3,"Redcow, Krafty Cheddar",5.67,
T134,Trader Tales,2023-06-21,1.0,1,Popsi,1.0,
T135,Urban Outfitters Loft,2022-04-06,22.0,7,"Popsi, Dovee, Flixnet",3.14,
T136,Bestchoice Buy,2022-12-01,10.0,2,Krafty Cheddar,5.0,
T137,Trader Tales,2024-04-17,12.0,3,"Redcow, Popsi",4.0,
T138,Bestchoice Buy,2023-04-24,5.0,1,Krafty Cheddar,5.0,
T139,Trader Tales,2023-04-12,1.0,1,Colgatex,1.0,
T140,Trader Tales,2022-12-15,18.0,4,"Krafty Cheddar, Gatorboost",4.5,
T141,Sparkmart,2022-03-17,24.0,5,"Colgatex, Popsi, Redcow",4.8,
T142,Urban Outfitters Loft,2022-06-02,13.0,7,"Redcow, Kittykat, Dovee",1.86,
T143,Sparkmart,2023-04-15,12.0,1,Flixnet,12.0,
T144,Petpals Mart,2023-01-07,1.0,1,Dovee,1.0,
T145,Urban Outfitters Loft,2024-03-08,7.0,2,"Redcow, Krafty Cheddar",3.5,
T146,Trader Tales,2024-04-28,13.0,3,"Redcow, Krafty Cheddar",4.33,
T147,Trader Tales,2022-01-22,13.0,4,"Oreoz, Dovee, Colgatex",3.25,
T148,Trader Tales,2024-03-21,1.0,1,Oreoz,1.0,
T149,Petpals Mart,2022-09-21,9.0,3,"Redcow, Popsi",3.0,
T150,Urban Outfitters Loft,2023-01-26,4.0,2,Kittykat,2.0,
T151,Urban Outfitters Loft,2022-02-20,29.0,5,"Redcow, Flixnet, Popsi",5.8,
T152,Urban Outfitters Loft,2022-11-28,2.0,1,Colgatex,2.0,
T153,Urban Outfitters Loft,2022-05-13,7.0,2,"Krafty Cheddar, Popsi",3.5,
T154,Targeted Treasures,2023-09-08,10.0,2,Redcow,5.0,
T155,Urban Outfitters Loft,2022-07-31,39.0,6,"Oreoz, Redcow, Flixnet",6.5,
T156,Trader Tales,2023-12-13,8.0,3,"Oreoz, Dovee",2.67,
T157,Sparkmart,2022-06-10,28.0,6,"Gatorboost, Krafty Cheddar, Popsi, Oreoz",4.67,
T158,Petpals Mart,2022-08-18,14.0,3,"Dovee, Flixnet, Popsi",4.67,
T159,Petpals Mart,2022-03-01,6.0,2,Redcow,3.0,
T160,Urban Outfitters Loft,2024-01-08,7.0,3,"Popsi, Kittykat",2.33,
T161,Bestchoice Buy,2023-08-02,6.0,3,"Dovee, Oreoz",2.0,
T162,Targeted Treasures,2022-04-12,11.0,3,"Redcow, Dovee",3.67,
