transaction_id,item,quantity,price_per_item,subtotal
T027,Flixnet,2,7.25,14.5
T027,Redcow,1,7.25,7.25
T027,Kittykat,1,7.25,7.25
T028,Dovee,2,2.25,4.5
T028,Colgatex,1,2.25,2.25
T028,Oreoz,1,2.25,2.25
T029,Flixnet,3,6.8,20.4
T029,Redcow,2,6.8,13.6
T030,Dovee,2,2.75,5.5
T030,Krafty Cheddar,2,2.75,5.5
T031,Oreoz,1,3.0,3.0
T032,Colgatex,2,8.0,16.0
T032,Flixnet,2,8.0,16.0
T033,Oreoz,2,3.0,6.0
T034,Kittykat,2,6.666666666666667,13.333333333333334
T034,Flixnet,1,6.666666666666667,6.666666666666667
T035,Dovee,1,1.0,1.0
T036,Redcow,2,3.0,6.0
T036,Kittykat,1,3.0,3.0
T036,Flixnet,1,3.0,3.0
T036,Gatorboost,1,3.0,3.0
T037,Dovee,1,1.0,1.0
T038,Colgatex,1,2.0,2.0
T039,Flixnet,3,7.4,22.200000000000003
T039,Kittykat,1,7.4,7.4
T039,Colgatex,1,7.4,7.4
T040,Krafty Cheddar,2,2.75,5.5
T040,Dovee,1,2.75,2.75
T040,Colgatex,1,2.75,2.75
T041,Kittykat,1,7.0,7.0
T041,Flixnet,1,7.0,7.0
T042,Krafty Cheddar,3,2.8,8.399999999999999
T042,Colgatex,1,2.8,2.8
T042,Popsi,1,2.8,2.8
T043,Dovee,2,1.0,2.0
T044,Redcow,3,2.5,7.5
T044,Kittykat,3,2.5,7.5
T045,Flixnet,3,6.833333333333333,20.5
T045,Popsi,1,6.833333333333333,6.833333333333333
T045,Gatorboost,1,6.833333333333333,6.833333333333333
T045,Flixnet,1,6.833333333333333,6.833333333333333
T046,Gatorboost,2,2.6666666666666665,5.333333333333333
T046,Colgatex,1,2.6666666666666665,2.6666666666666665
T047,Flixnet,2,7.0,14.0
T047,Dovee,1,7.0,7.0
T048,Kittykat,2,2.1666666666666665,4.333333333333333
T048,Popsi,2,2.1666666666666665,4.333333333333333
T048,Dovee,2,2.1666666666666665,4.333333333333333
T049,Dovee,1,2.0,2.0
T049,Oreoz,1,2.0,2.0
T050,Flixnet,2,6.0,12.0
T050,Kittykat,1,6.0,6.0
T050,Colgatex,1,6.0,6.0
T051,Krafty Cheddar,2,4.25,8.5
T051,Popsi,1,4.25,4.25
T051,Oreoz,1,4.25,4.25
T052,Dovee,2,2.3333333333333335,4.666666666666667
T052,Gatorboost,1,2.3333333333333335,2.3333333333333335
T053,Dovee,2,2.75,5.5
T053,Colgatex,2,2.75,5.5
T054,Popsi,2,5.333333333333333,10.666666666666666
T054,Flixnet,1,5.333333333333333,5.333333333333333
T055,Krafty Cheddar,2,3.0,6.0
T055,Dovee,1,3.0,3.0
T056,Oreoz,1,1.0,1.0
T057,Gatorboost,1,4.0,4.0
T058,Kittykat,1,2.0,2.0
T059,Popsi,2,3.3333333333333335,6.666666666666667
T059,Colgatex,1,3.3333333333333335,3.3333333333333335
T060,Gatorboost,2,1.75,3.5
T060,Kittykat,1,1.75,1.75
T060,Dovee,1,1.75,1.75
T061,Redcow,2,2.75,5.5
T061,Colgatex,1,2.75,2.75
T061,Dovee,1,2.75,2.75
T062,Colgatex,3,3.5,10.5
T062,Dovee,3,3.5,10.5
T063,Popsi,1,5.333333333333333,5.333333333333333
T063,Redcow,1,5.333333333333333,5.333333333333333
T063,Flixnet,1,5.333333333333333,5.333333333333333
T064,Oreoz,2,2.0,4.0
T064,Dovee,1,2.0,2.0
T064,Popsi,1,2.0,2.0
T065,Dovee,3,2.0,6.0
T066,Colgatex,3,3.0,9.0
T067,Redcow,1,3.0,3.0
T068,Dovee,2,2.25,4.5
T068,Oreoz,1,2.25,2.25
T068,Colgatex,1,2.25,2.25
T069,Colgatex,1,2.0,2.0
T070,Kittykat,3,3.4285714285714284,10.285714285714285
T070,Redcow,2,3.4285714285714284,6.857142857142857
T070,Colgatex,2,3.4285714285714284,6.857142857142857
T071,Redcow,2,3.0,6.0
T072,Oreoz,1,5.0,5.0
T072,Gatorboost,1,5.0,5.0
T073,Redcow,2,4.0,8.0
T074,Dovee,2,3.0,6.0
T074,Redcow,2,3.0,6.0
T075,Colgatex,1,2.0,2.0
T076,Colgatex,1,5.333333333333333,5.333333333333333
T076,Dovee,1,5.333333333333333,5.333333333333333
T076,Flixnet,1,5.333333333333333,5.333333333333333
T077,Flixnet,1,7.5,7.5
T077,Redcow,1,7.5,7.5
T078,Flixnet,2,7.666666666666667,15.333333333333334
T078,Redcow,1,7.666666666666667,7.666666666666667
T079,Kittykat,4,3.142857142857143,12.571428571428571
T079,Colgatex,1,3.142857142857143,3.142857142857143
T079,Krafty Cheddar,1,3.142857142857143,3.142857142857143
T079,Gatorboost,1,3.142857142857143,3.142857142857143
T080,Colgatex,2,3.3333333333333335,6.666666666666667
T080,Redcow,1,3.3333333333333335,3.3333333333333335
T081,Popsi,1,3.0,3.0
T082,Dovee,1,2.0,2.0
T083,Popsi,2,2.3333333333333335,4.666666666666667
T083,Dovee,2,2.3333333333333335,4.666666666666667
T083,Redcow,2,2.3333333333333335,4.666666666666667
T084,Kittykat,3,3.0,9.0
T085,Kittykat,1,3.0,3.0
T086,Dovee,2,1.0,2.0
T087,Dovee,2,3.0,6.0
T087,Colgatex,1,3.0,3.0
T087,Popsi,1,3.0,3.0
T088,Redcow,1,3.5,3.5
T088,Kittykat,1,3.5,3.5
T089,Redcow,1,2.5,2.5
T089,Oreoz,1,2.5,2.5
T090,Colgatex,1,6.0,6.0
T090,Popsi,1,6.0,6.0
T090,Flixnet,1,6.0,6.0
T091,Popsi,1,4.0,4.0
T092,Coca-splash,2,2.5,5.0
T092,Popsi,1,2.5,2.5
T092,Colgatex,1,2.5,2.5
T093,Flixnet,2,7.333333333333333,14.666666666666666
T093,Popsi,1,7.333333333333333,7.333333333333333
T094,Dovee,3,3.2,9.600000000000001
T094,Oreoz,2,3.2,6.4
T095,Dovee,1,1.0,1.0
T096,Redcow,2,2.6,5.2
T096,Kittykat,1,2.6,2.6
T096,Flixnet,1,2.6,2.6
T096,Colgatex,1,2.6,2.6
T097,Redcow,2,2.6666666666666665,5.333333333333333
T097,Kittykat,1,2.6666666666666665,2.6666666666666665
T098,Dovee,2,2.0,4.0
T099,Kittykat,2,1.75,3.5
T099,Gatorboost,1,1.75,1.75
T099,Dovee,1,1.75,1.75
T100,Colgatex,2,8.0,16.0
T100,Flixnet,2,8.0,16.0
T101,Flixnet,1,1.0,1.0
T102,Dovee,3,1.8571428571428572,5.571428571428571
T102,Popsi,2,1.8571428571428572,3.7142857142857144
T102,Colgatex,2,1.8571428571428572,3.7142857142857144
T103,Flixnet,2,5.333333333333333,10.666666666666666
T103,Popsi,1,5.333333333333333,5.333333333333333
T104,Oreoz,1,3.0,3.0
T105,Krafty Cheddar,3,2.6,7.800000000000001
T105,Redcow,1,2.6,2.6
T105,Dovee,1,2.6,2.6
T106,Krafty Cheddar,2,3.25,6.5
T106,Dovee,1,3.25,3.25
T106,Popsi,1,3.25,3.25
T107,Colgatex,2,4.25,8.5
T107,Krafty Cheddar,1,4.25,4.25
T107,Popsi,1,4.25,4.25
T108,Dovee,3,2.6666666666666665,8.0
T108,Kittykat,2,2.6666666666666665,5.333333333333333
T108,Popsi,2,2.6666666666666665,5.333333333333333
T108,Kittykat,2,2.6666666666666665,5.333333333333333
T109,Krafty Cheddar,2,2.0,4.0
T109,Dovee,1,2.0,2.0
T110,Flixnet,1,11.0,11.0
T111,Dovee,2,2.0,4.0
T112,Oreoz,1,4.333333333333333,4.333333333333333
T112,Popsi,1,4.333333333333333,4.333333333333333
T112,Krafty Cheddar,1,4.333333333333333,4.333333333333333
T113,Colgatex,2,3.5,7.0
T113,Popsi,2,3.5,7.0
T114,Colgatex,1,2.0,2.0
T115,Dovee,1,4.0,4.0
T115,Oreoz,1,4.0,4.0
T116,Gatorboost,2,3.5,7.0
T116,Colgatex,2,3.5,7.0
T117,Oreoz,1,2.0,2.0
T117,Dovee,1,2.0,2.0
T118,Dovee,2,2.3333333333333335,4.666666666666667
T118,Oreoz,1,2.3333333333333335,2.3333333333333335
T119,Flixnet,2,4.75,9.5
T119,Colgatex,1,4.75,4.75
T119,Oreoz,1,4.75,4.75
T120,Flixnet,1,1.0,1.0
T121,Popsi,1,6.5,6.5
T121,Flixnet,1,6.5,6.5
T122,Dovee,1,1.0,1.0
T123,Dovee,2,2.8333333333333335,5.666666666666667
T123,Flixnet,2,2.8333333333333335,5.666666666666667
T123,Colgatex,2,2.8333333333333335,5.666666666666667
T124,Popsi,2,3.0,6.0
T124,Popsi,1,3.0,3.0
T125,Colgatex,1,1.0,1.0
T126,Dovee,2,4.333333333333333,8.666666666666666
T126,Popsi,1,4.333333333333333,4.333333333333333
T127,Dovee,1,2.0,2.0
T128,Popsi,2,2.5,5.0
T128,Redcow,1,2.5,2.5
T128,Dovee,1,2.5,2.5
T129,Kittykat,2,1.25,2.5
T129,Dovee,2,1.25,2.5
T130,Kittykat,2,3.6666666666666665,7.333333333333333
T130,Redcow,2,3.6666666666666665,7.333333333333333
T130,Dovee,2,3.6666666666666665,7.333333333333333
T131,Coca-splash,1,1.0,1.0
T132,Popsi,1,3.0,3.0
T132,Krafty Cheddar,1,3.0,3.0
T132,Kittykat,1,3.0,3.0
T133,Redcow,2,5.666666666666667,11.333333333333334
T133,Krafty Cheddar,1,5.666666666666667,5.666666666666667
T134,Popsi,1,1.0,1.0
T135,Popsi,3,3.142857142857143,9.428571428571429
T135,Dovee,2,3.142857142857143,6.285714285714286
T135,Flixnet,2,3.142857142857143,6.285714285714286
T136,Krafty Cheddar,2,5.0,10.0
T137,Redcow,2,4.0,8.0
T137,Popsi,1,4.0,4.0
T138,Krafty Cheddar,1,5.0,5.0
T139,Colgatex,1,1.0,1.0
T140,Krafty Cheddar,2,4.5,9.0
T140,Gatorboost,2,4.5,9.0
T141,Colgatex,3,4.8,14.399999999999999
T141,Popsi,1,4.8,4.8
T141,Redcow,1,4.8,4.8
T142,Redcow,3,1.8571428571428572,5.571428571428571
T142,Kittykat,2,1.8571428571428572,3.7142857142857144
T142,Dovee,2,1.8571428571428572,3.7142857142857144
T143,Flixnet,1,12.0,12.0
T144,Dovee,1,1.0,1.0
T145,Redcow,1,3.5,3.5
T145,Krafty Cheddar,1,3.5,3.5
T146,Redcow,2,4.333333333333333,8.666666666666666
T146,Krafty Cheddar,1,4.333333333333333,4.333333333333333
T147,Oreoz,2,3.25,6.5
T147,Dovee,1,3.25,3.25
T147,Colgatex,1,3.25,3.25
T148,Oreoz,1,1.0,1.0
T149,Redcow,2,3.0,6.0
T149,Popsi,1,3.0,3.0
T150,Kittykat,2,2.0,4.0
T151,Redcow,3,5.8,17.4
T151,Flixnet,1,5.8,5.8
T151,Popsi,1,5.8,5.8
T152,Colgatex,1,2.0,2.0
T153,Krafty Cheddar,1,3.5,3.5
T153,Popsi,1,3.5,3.5
T154,Redcow,2,5.0,10.0
T155,Oreoz,2,6.5,13.0
T155,Redcow,2,6.5,13.0
T155,Flixnet,2,6.5,13.0
T156,Oreoz,2,2.6666666666666665,5.333333333333333
T156,Dovee,1,2.6666666666666665,2.6666666666666665
T157,Gatorboost,3,4.666666666666667,14.0
T157,Krafty Cheddar,1,4.666666666666667,4.666666666666667
T157,Popsi,1,4.666666666666667,4.666666666666667
T157,Oreoz,1,4.666666666666667,4.666666666666667
T158,Dovee,1,4.666666666666667,4.666666666666667
T158,Flixnet,1,4.666666666666667,4.666666666666667
T158,Popsi,1,4.666666666666667,4.666666666666667
T159,Redcow,2,3.0,6.0
T160,Popsi,2,2.3333333333333335,4.666666666666667
T160,Kittykat,1,2.3333333333333335,2.3333333333333335
T161,Dovee,2,2.0,4.0
T161,Oreoz,1,2.0,2.0
T162,Redcow,2,3.6666666666666665,7.333333333333333
T162,Dovee,1,3.6666666666666665,3.6666666666666665
