sender_id,recipient_id,amount,date
0856,0238,19.07,2022-08-22
0463,0903,52.03,2022-08-23
0961,0515,61.9,2022-08-25
0490,0914,87.3,2022-08-25
0979,0656,6.39,2022-08-25
0286,0640,53.81,2022-08-26
0387,0971,37.75,2022-08-30
0885,0670,18.73,2022-09-01
0749,0438,23.49,2022-09-05
0028,0491,87.13,2022-09-06
0912,0888,31.92,2022-09-09
0440,0615,10.46,2022-09-10
0535,0968,21.17,2022-09-14
0191,0672,28.4,2022-09-14
0846,0908,49.61,2022-09-15
0075,0932,13.06,2022-09-16
0279,0848,3.02,2022-09-18
0367,0102,83.56,2022-09-18
0533,0234,41.18,2022-09-20
0940,0388,69.61,2022-09-25
0748,0247,76.5,2022-10-03
0562,0770,79.95,2022-10-08
0674,0885,12.32,2022-10-10
0296,0683,10.0,2022-10-11
0663,0187,35.98,2022-10-14
0144,0575,29.51,2022-10-17
0459,0489,36.37,2022-10-17
0916,0377,17.61,2022-10-20
0283,0184,42.04,2022-10-20
0841,0765,39.2,2022-10-21
0255,0328,5.42,2022-10-21
0251,0481,12.91,2022-10-24
0242,0836,35.9,2022-10-28
0713,0718,63.51,2022-10-31
0979,0080,81.89,2022-11-06
0973,0540,43.94,2022-11-08
0755,0936,2.78,2022-11-08
0660,0708,30.12,2022-11-09
0289,0756,78.3,2022-11-11
0047,0163,14.22,2022-11-14
0879,0556,63.95,2022-11-17
0374,0515,78.1,2022-11-18
0986,0737,2.44,2022-11-19
0950,0813,52.8,2022-11-19
0063,0621,22.57,2022-11-20
0964,1000,32.3,2022-11-21
0854,0273,42.99,2022-11-25
0048,0694,77.19,2022-11-26
0472,0600,18.59,2022-11-29
0678,0846,70.92,2022-11-30
0976,0864,33.41,2022-12-01
0461,0934,5.31,2022-12-01
0861,0937,64.74,2022-12-01
0960,0902,16.46,2022-12-05
0992,0102,78.86,2022-12-06
0267,0812,35.92,2022-12-07
0221,0831,1.59,2022-12-09
0061,0487,6.81,2022-12-09
0110,0830,12.7,2022-12-12
0554,0877,33.99,2022-12-13
0196,0850,16.16,2022-12-14
0984,0345,49.27,2022-12-15
0331,0829,13.73,2022-12-17
0242,0266,96.5,2022-12-18
0314,0927,18.87,2022-12-18
0981,0230,1.0,2022-12-22
0137,0238,38.32,2022-12-30
0051,0140,1.0,2023-01-04
0630,0756,94.64,2023-01-04
0537,0037,1.52,2023-01-05
0722,0963,122.3,2023-01-06
0687,0262,57.67,2023-01-07
0617,0607,22.93,2023-01-08
0421,0267,21.65,2023-01-09
0966,0193,25.04,2023-01-10
0264,0620,47.19,2023-01-12
0147,0380,6.24,2023-01-12
0807,0399,68.15,2023-01-13
0202,0846,72.79,2023-01-14
0902,0939,13.01,2023-01-15
0925,0976,37.77,2023-01-18
0620,0108,23.77,2023-01-18
0878,0907,75.24,2023-01-19
0833,0607,47.77,2023-01-19
0289,0990,122.1,2023-01-22
0455,0749,28.53,2023-01-22
0769,0885,15.39,2023-01-25
0970,0660,82.99,2023-01-25
0984,0997,30.56,2023-01-25
0739,0316,40.22,2023-01-26
0930,0902,13.13,2023-01-28
0881,0415,4.19,2023-01-30
0960,0118,53.0,2023-02-03
0926,0965,45.91,2023-02-06
0986,0258,6.97,2023-02-06
0351,0920,23.69,2023-02-06
0875,0939,12.4,2023-02-07
0237,0981,1.07,2023-02-13
0976,0682,32.26,2023-02-14
0902,0914,13.81,2023-02-14
0870,0828,3.6,2023-02-15
0082,0137,15.36,2023-02-17
0878,0655,49.35,2023-02-17
0582,0521,7.4,2023-02-17
0641,0466,12.63,2023-02-20
0223,0856,50.51,2023-02-21
0147,0593,6.14,2023-02-22
1000,0069,21.2,2023-02-23
0163,0879,4.43,2023-02-27
0900,0314,96.19,2023-02-27
0154,0242,15.28,2023-02-28
0259,0157,44.69,2023-03-01
0369,0204,29.11,2023-03-01
0722,0314,39.85,2023-03-05
0374,0110,3.38,2023-03-07
0957,0940,60.7,2023-03-08
0064,0598,11.55,2023-03-11
0956,0241,33.0,2023-03-14
0411,0405,22.73,2023-03-14
0112,0169,71.55,2023-03-17
0712,0248,10.43,2023-03-17
0583,0555,18.98,2023-03-19
0441,0882,58.55,2023-03-22
0710,0595,8.35,2023-03-22
0991,0380,51.59,2023-03-25
0397,0753,75.66,2023-03-26
0806,0825,5.77,2023-03-27
0932,0676,70.99,2023-03-28
0127,0842,26.11,2023-03-28
0749,0972,8.84,2023-03-30
0973,0877,1.67,2023-04-01
0566,0984,56.83,2023-04-01
0857,0603,46.99,2023-04-04
0811,0375,73.1,2023-04-04
0189,0883,24.84,2023-04-06
0349,0528,27.28,2023-04-06
0984,0509,42.7,2023-04-06
0939,0926,15.67,2023-04-07
0695,0369,10.85,2023-04-08
0712,0123,8.49,2023-04-09
0249,0961,2.97,2023-04-10
0938,0947,61.63,2023-04-16
0337,0561,25.98,2023-04-16
0185,0867,44.37,2023-04-17
0893,0797,40.52,2023-04-18
0146,0615,4.93,2023-04-21
0413,0913,61.17,2023-04-24
0986,0408,43.65,2023-04-30
0093,0242,56.3,2023-04-30
0874,0439,27.29,2023-05-03
0342,0827,45.99,2023-05-04
0116,0061,62.87,2023-05-09
0270,0838,41.36,2023-05-09
0130,0923,5.75,2023-05-11
0986,0066,5.49,2023-05-12
0718,0972,13.25,2023-05-15
0325,0149,56.12,2023-05-15
0965,0162,47.07,2023-05-16
0040,0320,23.94,2023-05-16
0646,0965,27.26,2023-05-17
0685,0340,92.9,2023-05-17
0172,0109,42.44,2023-05-19
0118,0595,42.37,2023-05-22
0916,0706,60.28,2023-05-22
0965,0624,31.37,2023-05-23
0224,0291,7.94,2023-05-27
0543,0369,10.87,2023-05-27
0662,0423,5.7,2023-05-28
0467,0064,27.35,2023-05-29
0066,0796,70.4,2023-05-29
0979,1000,27.35,2023-05-30
0758,0835,29.08,2023-05-31
0659,0778,36.03,2023-06-01
0376,0888,24.51,2023-06-02
0363,0927,69.89,2023-06-03
0001,0052,25.02,2023-06-05
0193,0879,18.28,2023-06-05
0401,0478,15.72,2023-06-06
0198,0327,50.3,2023-06-07
0901,0677,5.07,2023-06-08
0072,0964,8.65,2023-06-15
0374,0936,24.47,2023-06-15
0224,0564,66.46,2023-06-16
0706,0408,33.74,2023-06-18
0364,0932,35.42,2023-06-19
0871,0012,49.84,2023-06-19
0764,0989,11.87,2023-06-19
0263,0714,19.32,2023-06-19
0769,0423,45.0,2023-06-19
0631,0773,29.8,2023-06-21
0085,0944,20.47,2023-06-21
0935,0989,4.98,2023-06-22
0314,0705,47.41,2023-06-25
0473,0287,30.01,2023-06-26
0907,0660,60.75,2023-06-26
0986,0249,12.74,2023-06-30
0746,0055,65.61,2023-06-30
0868,0865,81.69,2023-07-02
0973,0648,20.26,2023-07-03
0996,0318,12.77,2023-07-03
0835,0501,34.41,2023-07-10
0072,0443,51.51,2023-07-12
0918,0269,41.46,2023-07-12
0082,0850,44.1,2023-07-15
0770,0602,4.46,2023-07-18
0631,0913,137.01,2023-07-21
0231,0874,30.03,2023-07-22
0667,0098,84.55,2023-07-28
0682,0749,40.33,2023-07-29
0074,0664,31.96,2023-07-31
0686,0901,15.01,2023-08-01
0738,0874,71.33,2023-08-02
0323,0037,22.32,2023-08-03
0193,0647,43.57,2023-08-08
0970,0705,5.37,2023-08-11
0719,0113,67.37,2023-08-14
0108,0592,3.86,2023-08-15
0710,0184,23.59,2023-08-15
0701,0947,85.97,2023-08-17
0979,0924,38.71,2023-08-17
0571,0954,22.82,2023-08-19
0590,0555,45.29,2023-08-20
0419,0986,8.47,2023-08-21
0870,0095,16.9,2023-08-21
0274,0382,12.26,2023-08-21
0138,0796,68.32,2023-08-22
0815,0925,26.48,2023-08-23
0303,0993,28.82,2023-08-24
0792,0925,18.76,2023-08-25
0124,0546,7.1,2023-08-26
0592,0809,55.38,2023-08-26
0036,0924,67.92,2023-08-28
0411,0269,20.84,2023-08-28
0062,0885,9.12,2023-08-30
0455,0224,96.59,2023-09-05
0116,0960,3.75,2023-09-07
0326,0109,60.78,2023-09-08
0546,0916,59.51,2023-09-10
0856,0415,21.78,2023-09-11
0335,0234,28.18,2023-09-12
0001,0825,20.31,2023-09-13
0897,0981,78.71,2023-09-14
0010,0211,62.25,2023-09-14
0248,0135,130.62,2023-09-18
0638,0674,30.12,2023-09-23
0683,0830,51.35,2023-09-24
0156,0429,6.29,2023-09-24
0084,0697,51.67,2023-09-25
0696,0879,66.3,2023-09-25
0382,0356,7.77,2023-09-25
0873,0960,18.45,2023-09-26
0965,0896,16.9,2023-09-28
0346,0135,1.0,2023-09-29
0001,0749,31.2,2023-09-29
0974,0838,7.29,2023-09-30
0933,0957,6.61,2023-10-01
0758,0920,18.48,2023-10-02
0938,0973,59.58,2023-10-02
0111,0895,5.37,2023-10-04
0768,0543,41.86,2023-10-04
0902,0190,66.63,2023-10-05
0717,0361,31.77,2023-10-06
0963,0850,1.0,2023-10-07
0370,0494,4.18,2023-10-08
0089,0693,51.23,2023-10-12
0285,0147,36.98,2023-10-13
0712,0892,43.03,2023-10-14
0335,0937,41.1,2023-10-17
0103,0392,36.88,2023-10-18
0213,0995,2.49,2023-10-18
0237,0973,59.93,2023-10-20
0105,0118,49.49,2023-10-22
0739,0748,28.43,2023-10-23
0553,0165,64.96,2023-10-23
0108,0592,35.97,2023-10-23
0706,0540,14.05,2023-10-24
0601,0216,3.43,2023-10-24
0980,0593,53.68,2023-10-24
0840,0939,13.24,2023-10-25
0322,0968,70.74,2023-10-25
0982,0009,28.56,2023-10-26
0342,0838,61.74,2023-10-27
0897,0054,80.48,2023-10-28
0209,0563,7.57,2023-10-29
0185,0163,1.0,2023-10-29
0748,0506,37.89,2023-10-31
0363,0966,38.71,2023-11-05
0783,0978,3.72,2023-11-07
0802,0947,59.94,2023-11-15
0473,0287,3.78,2023-11-15
0043,0961,37.86,2023-11-16
0058,0236,53.23,2023-11-16
0865,0913,22.82,2023-11-16
0573,0773,1.0,2023-11-17
0888,0436,1.92,2023-11-17
0601,0913,10.48,2023-11-19
0854,0268,70.32,2023-11-21
0255,0668,52.93,2023-11-24
0263,0105,10.03,2023-11-24
0662,0312,40.5,2023-11-25
0817,0441,88.66,2023-11-26
0656,0493,4.7,2023-11-26
0250,0192,11.65,2023-11-28
0924,0940,1.67,2023-11-30
0986,0286,8.34,2023-12-03
0244,0738,1.0,2023-12-03
0903,0318,3.92,2023-12-03
0754,0108,2.89,2023-12-04
0646,0848,82.36,2023-12-06
0205,0467,15.7,2023-12-08
0473,0031,9.97,2023-12-08
0489,0404,12.18,2023-12-09
0907,0926,76.05,2023-12-12
0982,0763,41.16,2023-12-13
0328,0538,33.17,2023-12-15
0274,0598,19.29,2023-12-16
0625,0825,6.03,2023-12-20
0461,0973,74.82,2023-12-24
0526,0720,94.26,2023-12-24
0195,0973,20.44,2023-12-25
0472,0807,4.26,2023-12-25
0085,0191,46.33,2023-12-26
0578,0248,15.84,2023-12-29
0827,0400,59.13,2023-12-31
0752,0438,43.27,2023-12-31
0620,0442,15.61,2023-12-31
0846,0430,11.34,2024-01-01
0430,0055,36.62,2024-01-01
0065,0620,19.91,2024-01-01
0214,0365,18.75,2024-01-01
0878,0242,54.18,2024-01-02
0108,0130,24.27,2024-01-02
0309,0119,140.03,2024-01-02
0769,0648,48.39,2024-01-03
0184,0001,42.48,2024-01-05
0412,0173,39.98,2024-01-05
0066,0930,13.14,2024-01-06
0429,0579,9.21,2024-01-06
0714,0214,13.48,2024-01-09
0954,0647,51.72,2024-01-10
0935,0764,4.45,2024-01-10
0215,0844,10.54,2024-01-11
0141,0245,28.59,2024-01-11
0263,0967,38.51,2024-01-12
0743,0563,57.21,2024-01-13
0179,0438,81.49,2024-01-14
0318,0263,6.75,2024-01-17
0197,0965,55.76,2024-01-19
0609,0005,137.71,2024-01-19
0710,0827,44.83,2024-01-21
0890,0948,57.48,2024-01-23
0731,0296,4.09,2024-01-23
0919,0220,57.52,2024-01-27
0262,0317,4.94,2024-01-27
0922,0869,99.2,2024-01-27
0341,0837,1.0,2024-01-30
0946,0433,20.12,2024-01-30
0001,0830,8.68,2024-01-30
0073,0420,77.35,2024-02-04
0173,0038,106.3,2024-02-04
0422,0460,8.96,2024-02-06
0192,0963,80.54,2024-02-06
0065,0466,47.31,2024-02-06
0976,0890,25.21,2024-02-07
0593,0923,116.46,2024-02-10
0391,0234,11.55,2024-02-11
0801,0387,31.28,2024-02-13
0769,0350,49.57,2024-02-15
0440,0961,12.24,2024-02-16
0826,0171,38.38,2024-02-17
0393,0078,56.54,2024-02-18
0621,0241,43.63,2024-02-19
0818,0130,4.42,2024-02-20
0074,0945,32.25,2024-02-20
0374,0554,20.62,2024-02-22
0545,0920,82.09,2024-02-23
0939,0948,17.68,2024-02-24
0964,0803,23.73,2024-02-25
0779,0998,172.87,2024-02-27
0444,0520,58.61,2024-02-28
0345,0658,33.28,2024-02-28
0734,0986,8.99,2024-02-29
0773,0680,8.22,2024-03-01
0875,0512,51.64,2024-03-01
0526,0096,36.56,2024-03-01
0289,0503,27.73,2024-03-02
0068,0899,75.99,2024-03-04
0243,0130,15.32,2024-03-05
0966,0108,72.63,2024-03-05
0100,0129,99.22,2024-03-08
0286,0963,21.05,2024-03-09
0042,0041,135.1,2024-03-09
0914,0260,85.96,2024-03-09
0697,0908,22.34,2024-03-10
0878,0434,36.15,2024-03-10
0952,0020,73.27,2024-03-10
0908,0772,48.43,2024-03-11
0499,0375,39.65,2024-03-14
0059,0848,73.76,2024-03-15
0379,0874,34.79,2024-03-15
0191,0929,5.41,2024-03-16
0543,0523,74.24,2024-03-16
0712,0482,42.82,2024-03-18
0059,0791,101.69,2024-03-21
0888,0261,33.14,2024-03-23
0058,0538,5.95,2024-03-24
0054,0088,1.0,2024-03-24
0936,0930,15.93,2024-03-25
0827,0436,0.84,2024-03-26
0360,0184,25.4,2024-03-26
0976,0947,11.42,2024-03-31
0671,0054,62.11,2024-03-31
0071,0947,62.0,2024-04-01
0966,0958,1.13,2024-04-02
0358,0389,58.16,2024-04-05
0358,0096,30.66,2024-04-06
0890,0161,17.81,2024-04-07
0879,0657,13.23,2024-04-08
0800,0923,42.19,2024-04-08
0895,0311,68.82,2024-04-10
0211,0505,71.72,2024-04-10
0503,0173,17.54,2024-04-11
0137,0923,4.46,2024-04-12
0783,0764,50.81,2024-04-14
0142,0427,111.03,2024-04-14
0425,0271,87.05,2024-04-14
0002,0899,75.15,2024-04-15
0806,0439,7.09,2024-04-17
0925,0359,86.0,2024-04-18
0982,0980,9.17,2024-04-23
0924,0828,36.36,2024-04-24
0961,0319,16.42,2024-04-25
0409,0607,27.24,2024-04-26
0487,0810,22.6,2024-04-27
0078,0356,30.48,2024-04-27
0682,0888,82.91,2024-04-29
0463,0438,8.8,2024-04-29
0924,0162,98.0,2024-04-30
